,spotted,battles_on_stunning_vehicles,hits,battle_avg_xp,draws,max_xp,survived_battles,wins,losses,capture_points,battles,damage_dealt,damage_received,max_frags,shots,frags,max_damage,xp,avg_damage_assisted,piercings,user_id,nickname,wn8
389,1168,0,7499,253,33,1483,447,884,1282,2671,2199,656930,1112341,6,13918,973,2676,555366,114.89,2855,508444899,Harry932013,"367,81"
390,667,0,5426,134,17,811,308,491,593,1248,1101,81754,217284,7,12534,376,663,146993,50.61,1364,500092425,Nessiehunter,"77,48"
391,2882,0,16856,297,20,1487,913,1907,1930,2832,3857,1434722,1765199,7,26342,2376,2167,1144594,124.96,11859,537051848,Jean_673_BG,"715,30"
392,23033,1639,195539,433,558,2330,13828,19928,20462,16544,40948,41945680,36877837,8,314499,32470,8977,17719094,255.25,126742,534511875,sobota33,"1124,42"
393,225,0,1683,240,14,1328,100,209,325,1162,548,134758,280666,6,3154,235,1763,131693,106.29,812,666407356,_G3RA,"304,44"
394,73980,6435,556986,526,2246,2640,38036,49713,46653,91274,98612,140677454,94437740,10,794007,107743,8686,51834373,392.15,374578,595074088,VALIKTT,"1631,10"
396,3852,70,29938,295,89,2427,1633,2896,3023,12437,6008,2526671,3399784,7,61230,3588,5204,1775078,199.07,9331,637346425,buruayaric,"672,40"
397,405,0,3384,353,6,1536,174,376,380,671,762,388788,692334,5,5997,334,3014,269232,164.22,2145,597802389,Matvey19dyb03,"649,52"
398,371,61,1980,251,10,1496,125,287,320,314,617,152459,373748,5,3998,249,2993,155066,133.68,1275,510756939,trikkerfinger,"312,49"
399,5933,60,24033,328,45,1931,961,2876,3210,3927,6131,2718254,4035674,6,47359,3254,4174,2013185,168.9,15180,629394318,ganster_wars_2000,"687,79"
400,45993,681,415777,364,649,2687,23301,32539,32781,39901,65969,36978602,37757288,8,683512,55509,5114,24027767,178.84,279366,515033165,fecoba,"973,82"
401,1093,67,5382,178,27,1046,231,709,899,2102,1635,206061,528097,5,15376,500,1697,291791,112.82,472,502301692,maciek12950,"133,57"
402,7529,24,43637,482,52,2246,1614,3046,2629,7169,5727,2763978,2369053,9,75883,5208,3325,2762341,267.78,28050,520614451,ScrotalFungus,"1305,29"
403,1091,96,6838,198,20,1236,270,641,769,938,1430,239648,706096,4,16301,348,1815,283850,126.15,1486,523158510,bolik76,"234,89"
404,23590,0,136370,444,540,2683,8462,14030,14108,21891,28678,30074083,22291054,10,224085,25819,8526,12739395,324.36,44424,637145483,xamak_334899,"1372,49"
405,26387,715,106580,481,212,2673,6223,11394,11156,18320,22762,21176336,22099718,8,155144,15874,6040,10940769,358.44,71885,518087009,zwlok,"1139,37"
406,402,0,2206,164,8,1062,141,361,429,616,798,65262,175221,6,4533,324,1356,130530,42.12,1389,536525581,E1002010,"77,54"
407,15855,514,90430,459,231,2189,3921,8384,8783,7901,17398,14625716,17636935,8,146512,10669,6710,7980288,296.41,56608,510172496,KurtKrampmeier,"992,82"
408,25673,0,130067,361,429,1861,7451,14829,14678,33346,29936,20048044,20418481,8,200776,21029,5295,10795983,243.06,52846,620424770,varjag13_5493408,"1009,04"
409,29585,6171,247270,466,749,2243,22493,29967,33956,68451,64672,43745167,49004928,8,479764,36140,7556,30153447,199.32,133666,505870883,milano53,"667,61"
410,240,0,1535,161,8,864,101,227,301,539,536,64668,250070,5,2981,120,1431,86304,87.25,778,655584765,MaksSyper_2,"47,44"
411,435,0,4412,239,12,1211,251,423,488,622,923,248189,571665,6,17532,289,2078,220391,109.57,2465,567597751,Jirka2020_hero,"358,82"
412,2450,30,10632,167,45,944,1036,2398,2941,5410,5384,555074,2082214,6,29407,1101,1322,896832,87.08,6061,628013744,HoNada_30088447,"48,63"
413,766,0,3812,173,16,1118,199,703,835,943,1554,225696,837314,6,8663,342,1693,268075,89.34,1880,596510115,tankist_Dmitry13,"143,18"
414,3522,4306,78198,381,273,1724,6334,8151,8663,9986,17087,14940024,12862045,7,155641,12837,6284,6513845,140.16,41575,561038245,Toni_751,"861,71"
415,7024,19,24412,257,69,1839,1605,4266,5066,7967,9401,2995140,4502712,8,51211,4626,4254,2414960,141.29,10933,622266495,nikitos3300,"440,10"
416,33135,19,130053,359,297,1984,5283,13450,14831,28206,28578,18179320,27683301,11,216964,15933,6638,10271797,261.54,62417,502501120,dorian82,"743,24"
417,18804,855,67329,422,134,2240,2468,6882,7530,8296,14546,11080733,15289891,8,105171,7436,5672,6137573,349.85,43384,541062072,Endrju2626,"796,43"
418,698,0,1830,165,9,725,66,301,340,652,650,68332,210660,3,4803,144,887,107352,83.48,1054,630811481,RenamedUser_42594412,"123,72"
419,663,0,4326,301,9,1794,237,457,444,935,910,200907,320176,7,8825,513,3851,273682,113.07,2522,630691467,RenamedUser_41755253,"498,33"
420,1292,58,4479,199,11,1203,407,904,949,1598,1864,273029,472693,8,12910,569,1805,371808,84.07,2752,540836060,funkolector,"222,83"
421,384,0,2518,119,15,437,150,336,385,1125,736,52513,133028,4,7966,229,482,87552,34.33,1397,629491720,RenamedUser_34912640,"81,96"
422,2339,18,16516,456,45,1923,762,1633,1764,3234,3442,1889945,3560377,7,24216,1628,3876,1568108,244.71,9823,529232051,Dobby_CZ_26,"607,76"
423,67264,634,280146,455,742,2517,10821,26738,26023,45153,53503,51972618,48424454,11,434829,44280,8042,24325782,348.47,138421,595442430,_Dumb_,"1299,26"
424,976,0,3908,142,16,927,161,526,712,539,1254,122707,410998,6,9734,347,1403,177786,69.34,2323,525870747,cupidon_151,"39,34"
425,4590,0,28141,382,91,2139,1314,2638,2877,5700,5606,3606225,3822929,10,51085,4108,5027,2143206,180.93,11559,508140239,snaakey,"979,62"
426,1898,373,11352,529,33,2232,647,1284,1231,1518,2548,1823600,1819228,8,20230,1922,4257,1347047,195.69,7839,547317715,Zephyr_Aulmais,"1090,91"
427,18259,0,89217,319,170,1930,4194,10331,11172,12894,21673,10840778,14835721,7,149315,13364,3910,6913716,213.59,60103,655294572,Vital__1972,"733,90"
428,764,99,6797,571,12,1860,356,601,545,1050,1158,1206220,1110109,5,11030,899,7635,661660,235.44,4415,566812299,Dani12_sniper,"1347,97"
429,392,75,3380,455,11,2162,170,309,310,141,630,326376,431938,6,6139,359,3803,286470,152.17,2170,602341175,www_kostik_2019,"759,59"
430,1127,0,3803,159,14,1130,179,616,740,1406,1370,173026,455734,4,7601,369,1585,218371,69.88,2087,623502380,tiagac,"142,08"
431,1154,0,9084,275,8,1533,373,858,915,962,1781,488487,781295,5,19012,880,2130,490246,120.89,5388,535368007,Archuu_stern,"508,02"
432,1577,0,6726,166,42,1048,669,1399,1699,5943,3140,429991,1242784,4,17509,797,1689,522225,74.38,4278,519494550,ewslaw,"108,08"
433,5743,34,17708,278,57,1895,950,2631,3176,5593,5864,1881424,3615797,6,30630,2388,3257,1631246,193.06,8465,507443991,yanick2002,"399,05"
434,641,0,4679,166,6,1038,92,325,321,119,652,63454,127131,9,11681,268,1105,108534,51.28,2402,536116211,kulko2000,"205,31"
435,379,0,1997,148,4,969,115,272,366,647,642,47548,216037,5,5870,140,388,94919,70.67,23,502479765,kailan919,"26,98"
436,1900,62,11449,191,44,1266,759,1767,2307,3250,4118,841358,1906693,8,29433,1642,3121,787639,86.94,6891,522063236,Butzeli,"221,84"
437,4093,279,29054,469,67,2579,1108,2439,2515,2166,5021,4402148,5600867,7,45588,3260,6109,2355664,250.28,18688,572444089,Bartek_G123,"1039,21"
438,812,642,4929,201,16,922,539,914,1049,2450,1979,424233,454272,5,17488,741,1929,398688,62.85,1730,507743685,Gewedock,"290,92"
439,10207,0,53690,580,113,2680,1876,4412,4192,8057,8717,7691711,8592884,8,78209,7565,5824,5057642,435.42,17265,500764729,shigatymaru,"1316,77"
440,4398,165,25278,342,76,1765,1548,2970,3364,4158,6410,3420362,5054284,7,44273,3093,6319,2194297,257.5,12747,502657560,gardolav123,"623,37"
441,3117,0,9719,302,24,2197,711,1507,1584,2314,3115,1318404,1713778,5,17778,1646,3356,940159,174.18,7249,520333295,KingOfFoolS1984,"696,38"
442,95670,785,607090,475,2156,2400,39213,57758,58167,186126,118081,131529396,118199579,11,851515,102478,9015,56058533,346.12,299017,595108014,stylus2,"1246,11"
443,651,0,6735,317,4,2232,153,354,330,314,688,227802,234744,12,11678,563,1873,217767,109.28,5114,632147306,JliTBiHoBckiu,"957,88"
444,1385,225,12333,429,36,2442,440,985,1071,904,2092,1334941,2019681,7,22780,1234,5926,898444,186.78,7495,661995340,Valuga74_97953301,"773,00"
445,1925,0,11066,162,58,925,532,1291,1556,5010,2905,275761,1145504,4,33511,667,2256,469684,97.56,2590,505453001,bastek035,"48,62"
446,32363,138,162951,690,363,2553,7810,14268,11802,22710,26433,39269569,30993372,9,234000,27550,8750,18247346,581.87,81592,508033528,Mr_Cremig,"1864,11"
447,5149,0,43827,406,80,2190,1856,3844,4272,2921,8196,5772400,4978644,9,75256,6616,5030,3326033,204.78,23757,510812930,Prometheus0155,"1101,54"
448,3261,8,18116,499,26,2277,651,1562,1556,1843,3144,2309081,2559722,9,29393,2534,4872,1568029,227.98,12721,633844126,Onli_w1n,"1171,93"
450,1389,25,8497,226,19,1286,456,1018,1164,1479,2201,492380,825333,6,18604,937,2481,497714,106.64,4806,625963936,alexsavostian,"326,98"
451,14216,0,44392,312,110,1719,2047,6270,6489,6730,12869,6059315,8622069,7,78182,7126,4513,4019657,218.08,31624,626555120,aslan08080,"705,36"
452,15966,13,128884,491,506,2274,8694,13743,14049,13795,28298,35442730,30809905,8,184375,23908,7254,13881214,271.8,88551,536366078,cegla83,"1223,64"
453,445,0,4327,344,11,1551,238,447,504,832,962,392567,784030,8,7873,439,3040,331222,151.96,2499,535598041,Piotr_Cygan,"483,77"
454,16839,1477,138226,498,288,2496,7461,12417,12132,10349,24837,24029281,22961813,8,215044,19685,7149,12368953,292.47,92702,524690622,mentor761007,"1212,58"
455,4778,0,22446,439,50,2027,876,2346,2464,8981,4860,2842333,3643898,7,33628,2954,4911,2131849,247.06,11186,501485556,DarKGhos,"843,15"
456,1990,0,1588,158,68,1155,967,1480,2241,2342,3789,99872,2617063,4,8502,100,1056,599309,149.53,1000,506261616,red0me,"7,36"
457,651,0,3391,183,12,864,265,406,396,106,814,131310,91432,6,9416,469,1415,148655,54.07,2527,514944135,Soloalpha,"359,20"
458,444,0,3605,185,13,1383,223,540,594,1404,1147,159413,349649,5,10671,432,1767,212584,62.65,2213,629972267,degtyarencko_stas,"198,62"
459,3519,0,26681,374,70,2585,1513,2787,3174,4873,6031,4510057,6861460,8,39983,3392,5927,2252755,332.97,13331,637432448,SINIY73_4340798,"796,95"
460,552,0,3637,147,3,872,103,322,359,886,684,49049,116010,5,10598,215,797,100852,36.65,1965,637712773,RenamedUser_8593977,"129,64"
461,408,0,4382,230,11,1110,216,364,367,1051,742,165007,190614,5,8838,481,1585,170875,84.43,2436,595859249,Belkin__Glaz,"495,92"
462,903,0,6460,290,19,2023,269,653,638,1014,1310,475444,666351,7,12646,670,3350,379490,124.98,4167,630396483,RenamedUser_39837318,"632,48"
463,2456,0,13702,226,25,1063,603,1272,1295,3407,2592,606332,939601,7,33421,1490,1135,585064,141.35,220,506323122,jonkkaboy,"521,75"
464,522,5,3744,193,12,870,377,717,849,2345,1578,252050,660953,4,8289,497,1381,304441,79.26,2272,620955852,RenamedUser_6986328,"157,81"
465,1973,0,3265,164,11,776,111,688,769,1555,1468,106197,597887,3,8451,148,999,240678,118.83,1472,628251402,RenamedUser_30774704,"72,42"
466,185,0,953,107,7,471,142,259,281,220,547,44473,66678,3,3476,141,408,58718,16.8,6,621919826,Ups7771,"90,85"
467,16506,124,94301,379,234,1921,4590,9478,10057,26117,19769,11921369,15865465,7,147851,11610,5875,7486539,228.24,48961,596333539,maks42russ,"789,35"
468,4116,188,20472,756,60,2346,880,1696,1603,4569,3359,4169300,4055016,7,28485,2639,5633,2540680,450.29,14140,622679398,i1in1,"1382,82"
469,178,306,2323,315,5,1895,178,310,328,540,643,255299,241163,6,6054,335,2309,202412,95.66,1351,594872358,_tiret,"601,63"
470,571,0,2369,235,7,1224,263,477,584,1443,1068,226846,327571,8,5555,398,2165,250613,94.2,1522,633494143,RenamedUser_72180387,"254,29"
471,3090,360,38806,713,133,2651,2840,3261,3196,5594,6590,8794712,6092678,9,63611,6404,6531,4700471,261.21,26474,553148538,TaRo_ChP,"1529,98"
472,579,1,4478,297,6,1647,108,324,310,827,640,165817,222764,4,9367,407,2421,189877,100.29,2313,637430913,RaMsA2003,"664,03"
474,24097,2068,128274,551,300,2373,6260,12128,12539,25683,24967,25152709,27817853,9,214481,19551,8186,13748017,331.16,72964,503659361,1lasi,"1146,59"
475,244,0,1660,139,4,953,112,259,317,624,580,45625,187283,4,4526,124,878,80769,60.23,737,629983278,RenamedUser_36546191,"44,90"
476,1552,0,5498,254,15,2031,216,647,810,1328,1472,295488,710505,4,10912,505,3255,374047,186.8,2354,618839612,RenamedUser_182971,"267,64"
477,26178,136,157820,677,308,2859,8072,12551,12146,33768,25005,30112839,27469632,9,222760,24402,7893,16940852,382.48,72174,503177299,macdev01,"1555,92"
478,37034,0,238172,801,423,2592,11535,17014,12821,47261,30258,44732050,28100645,10,319029,38696,8020,24240277,501.91,113908,500997347,EmoRageQuit,"2340,79"
479,898,0,4620,287,17,1866,281,496,582,2405,1095,485018,750993,7,7622,639,1078,314209,167.45,120,501994524,Hory95,"591,56"
480,1417,0,13075,290,29,2132,439,730,722,994,1481,602690,701706,8,19462,923,3563,430159,135.76,8469,587446774,petercobrda,"1129,12"
481,6366,148,19799,306,43,1641,653,2519,2799,921,5361,2618527,4354385,7,33127,2514,5915,1641062,291.9,11687,622202722,Bakessov1,"622,96"
482,3119,88,17613,263,25,1774,630,1970,2232,2603,4227,1237943,2020953,7,34283,2029,3566,1111516,124.83,11128,540647123,Sylklusz,"464,73"
483,200,0,1566,173,4,800,80,208,297,804,509,49549,158800,3,3262,115,778,88082,59.81,736,628807997,RenamedUser_32762554,"20,01"
484,2173,0,20397,220,44,995,689,1764,2047,4892,3855,858214,1862344,5,49710,1391,1440,849008,124.14,10960,658007032,GBP_2015,"303,23"
485,609,0,7138,956,1,2271,303,432,281,574,714,1272209,803527,8,9447,971,6560,682874,463.37,5042,528746036,pozdravPL,"2511,30"
486,684,2,4921,247,15,1177,226,468,444,1846,927,296911,366108,6,9474,588,987,228830,134.2,118,504547564,KaSzTaN0,"725,18"
487,7217,51,21067,485,79,2243,1074,2330,2513,5856,4922,3447235,5355996,7,35217,2861,4934,2389346,531.19,7973,501654710,gtice,"775,44"
488,4137,0,8788,174,54,924,452,1459,1754,2593,3267,329903,1224452,4,27831,785,1337,569161,132.0,1223,506807928,gunes07,"64,86"
489,6101,0,20555,398,47,2085,805,1777,1726,2553,3550,1627926,2142098,7,32427,2343,3199,1411605,316.37,13732,554176851,Deadjolly1316C,"899,95"
490,1932,0,9605,270,22,1210,535,1144,1197,3110,2363,805784,1087014,5,17047,1342,2170,638101,162.14,6715,514714320,dlugmacz,"651,08"
491,16490,366,77913,382,206,2313,4158,8641,9019,17901,17866,12475858,15902058,8,112973,11604,5560,6818796,332.02,36455,595561580,feediy,"902,40"
492,456,0,4254,264,7,1332,124,255,309,1560,571,187542,283656,5,6211,261,3083,150776,107.15,2365,512417350,asemi83,"655,82"
493,1749,0,12319,223,36,1302,609,1236,1428,5261,2700,796228,1336598,5,24771,1452,2248,603150,98.14,2215,502576703,biker22,"455,61"
494,15315,49,113328,585,198,2402,5803,9549,8757,28590,18504,23662712,20923429,10,167466,17762,9408,10823874,356.97,70789,509684024,Farlange,"1553,45"
495,235,0,2510,171,8,662,188,320,325,1498,653,102983,139463,5,5975,379,1012,111841,54.05,1234,503184652,matiek5e,"319,85"
496,16,631,1613,454,17,2015,256,322,353,43,692,384462,149240,4,5081,366,1996,313823,56.82,198,636579858,anter89rus,"778,70"
497,5027,21,29776,296,53,1760,1323,2817,3025,4128,5895,1992288,3755209,7,63902,3310,3778,1742728,212.53,15142,507645880,28052003,"504,96"
498,436,189,1736,229,12,953,138,342,406,716,760,177330,220429,5,5394,260,1717,173940,57.33,813,503670113,DAUMAN12,"268,56"
499,1955,0,15649,246,37,1414,1036,1721,1961,5139,3719,1114403,1686501,6,32309,1779,1984,913026,172.95,819,637345486,mildred_2845203,"462,77"
500,28508,237,128524,401,313,2341,6134,12528,13007,21665,25848,14966771,17836872,8,221786,17934,4734,10374740,267.13,33254,619682190,xixARESxix,"928,42"
501,4624,0,31008,272,43,1476,1416,2946,3291,9848,6280,2234034,3845903,7,48323,3231,3179,1708002,153.88,19630,626836207,DitrihDikiy,"537,80"
502,224,0,3730,546,9,1811,196,292,289,992,590,653871,387646,7,5741,515,4779,322074,139.11,2531,671881700,Limb2022,"1399,49"
503,13804,133,55971,333,147,2010,2312,7516,8953,7383,16616,8648520,14574736,7,91698,6899,5671,5527268,197.99,35681,501128938,mati997,"569,66"
504,12718,60,92186,460,230,2074,5272,9046,8835,17528,18111,16945578,17949475,9,127345,13774,6020,8339516,316.35,50340,602155434,Cool310,"1155,52"
505,487,0,2354,260,5,1333,143,316,337,1128,658,157869,240647,6,3796,341,1537,171143,109.58,1480,596510198,Favourite_L,"524,77"
506,381,0,1590,113,11,703,129,325,365,852,701,38462,128278,4,3713,160,753,79325,59.68,805,502252599,maxi726,"54,90"
507,39728,276,221451,758,285,2948,6659,13794,10867,7307,24946,45069425,30392365,12,319405,26665,9977,18902876,579.89,161240,594795870,Manhattaan,"2403,44"
508,498,0,1746,201,4,1130,76,246,279,367,529,76314,162079,4,3602,186,1346,106333,63.69,1059,630961005,RenamedUser_46946869,"250,23"
509,7209,0,27895,250,48,1698,797,2795,2871,2928,5714,1499642,2361038,7,60308,2830,2721,1427092,188.79,13699,500805714,CaptainZap,"503,70"
512,9074,142,46315,358,117,2106,2780,4898,4985,12145,10000,6230602,6163708,8,85865,7305,5856,3577539,220.81,31431,627852628,Cratos135,"1008,18"
513,3091,71,26295,502,72,2004,1248,2020,1979,1522,4071,4413310,4272576,7,37915,3237,6499,2041904,270.39,18962,581292506,SLM_21_1,"1339,77"
514,107,503,1732,427,14,1871,223,313,351,383,678,374583,174706,6,4561,429,2487,289333,70.59,471,615350969,Po3oBIbY_OCJIUK,"867,50"
515,28224,1299,213660,492,752,2387,13438,21974,23907,36327,46633,46082380,56070152,8,336106,32772,7728,22921599,310.86,137370,595510489,Dominus_Draco_57972008,"936,97"
516,564,0,2703,351,4,1847,117,263,264,452,531,226523,286225,6,4956,385,2454,186472,174.36,1917,611640381,_ARYSTOTEL_,"844,24"
517,40762,790,290106,725,369,3126,13562,22422,17505,29665,40296,68434315,43966362,12,389581,49317,9450,29234282,418.92,221224,511210293,balanta200,"2251,55"
518,2625,84,17178,562,51,2289,766,1455,1557,3278,3063,3074473,3825884,9,25599,2433,5975,1722601,326.71,12106,604093406,SHOOTER_BEST_,"1077,04"
520,256,0,897,255,18,1113,82,218,331,707,567,51799,548118,2,2438,37,1574,144837,131.19,417,583107823,Betty_691,"4,40"
521,1336,0,5660,179,18,922,226,671,661,852,1350,188618,363592,6,10723,513,1339,241854,79.34,3418,625358510,pantser2012,"278,84"
522,6055,0,21510,312,70,1834,622,2022,2561,7166,4653,1326285,2592717,10,43841,2401,2241,1452542,168.51,1288,505107925,lecarolo,"419,02"
523,13352,346,51459,401,139,2298,2665,5064,4752,14993,9955,6151243,5411142,11,88413,7831,6603,3996834,295.08,19332,620475380,EnotechE,"1167,92"
524,551,0,3016,278,3,1308,129,392,413,689,808,220689,444406,5,5077,307,2555,224480,110.81,1945,557136147,patt_34,"425,50"
525,2157,0,12878,270,37,1512,1041,1882,2190,5045,4109,1505854,2053439,8,26361,2220,3532,1107461,111.53,8620,626098727,Tverdohlebov1992,"526,13"
526,18641,1080,128379,433,338,1974,9454,14345,15507,53383,30190,24783028,25932350,9,214892,19949,7996,13076036,266.91,62843,502062704,Hattori____Hanzo,"902,43"
527,4645,0,26957,291,69,1771,1235,3044,3438,3267,6551,3261150,4271733,8,47617,3890,4708,1905848,169.94,18247,620120138,Dmytro_93,"645,80"
528,30659,67,176071,416,465,2496,10637,18294,19003,30816,37762,32825439,34781329,9,257747,26409,7333,15701846,337.37,99174,622730564,D_Oleg_,"1038,07"
529,3397,1373,20934,194,78,1190,1681,2956,3540,5891,6574,1291296,1847916,7,51408,2896,1951,1273588,64.22,12308,655222416,Red_333_17551580,"300,91"
530,723,12,4296,266,19,1785,141,419,473,1123,911,282085,591569,6,7794,354,2808,241958,106.86,2183,588232472,kusia526,"484,31"
531,37764,316,233530,451,627,2250,12368,23929,24177,29717,48733,51028097,58476209,9,330184,35315,7583,21959750,338.98,160565,599005490,84_akrom,"1110,35"
532,960,0,3562,180,10,1016,207,492,618,1037,1120,158015,430941,5,8729,336,1089,201884,139.76,917,503994269,manutd80,"144,10"
533,5188,1639,31557,358,93,1580,1962,3612,4034,2676,7739,4714373,5342943,7,61003,4174,5105,2768124,181.95,19224,595412753,Rakasta_75714104,"729,54"
534,3421,321,27604,260,36,1650,797,1843,1828,3615,3707,1080395,1207858,8,58440,2094,4854,962525,137.33,15199,630704699,anya_babenko_2016,"639,68"
535,1030,0,14148,179,19,1182,235,478,491,2297,988,106006,126669,9,38247,630,1085,177242,46.35,7741,625387920,RenamedUser_22447698,"289,49"
536,23375,702,174179,374,395,1883,10731,18226,19750,35199,38371,25772833,34741912,7,289453,21200,5437,14363221,253.69,102766,510548009,suns19,"742,32"
537,18229,142,65740,357,86,2075,2935,7014,6895,9076,13995,7940864,9724023,9,110550,9482,4711,4998605,242.99,46276,522212539,domikcv,"951,03"
538,523,0,1141,120,9,530,97,298,371,497,678,34368,159635,4,4546,91,475,81322,84.31,251,655164197,RenamedUser_16010653,"40,56"
539,1294,31,4255,439,14,1967,276,560,532,1373,1106,645400,628468,6,6858,968,3371,485139,237.18,2601,610937379,STATIST_705,"1221,42"
540,36138,669,104631,398,187,2838,2741,9215,9118,10986,18520,11771996,13796278,8,193210,12017,6394,7365702,428.93,68432,543418742,BossR99,"1107,46"
541,46282,1536,187381,494,404,2571,9498,19621,19201,39722,39226,34848640,36583738,10,312823,29571,7419,19382889,330.92,125614,595236302,AndRoNu4,"1188,25"
542,4051,1,16166,354,62,1777,1203,2855,3495,6943,6412,2197969,5685885,6,29389,1950,3369,2271305,207.96,9438,597676589,RealSteelShip,"278,63"
543,5673,0,34247,309,71,1677,1438,2964,2948,7176,5983,2569089,2620268,7,62957,4564,2833,1851681,239.07,1630,504202961,DamnImGood,"935,70"
545,41,462,1382,429,10,1751,185,256,272,207,538,295290,100752,5,4176,396,2017,230985,59.19,258,563765534,DSAFG_2019,"825,13"
546,1220,14,5903,194,8,1132,355,872,1033,1113,1913,388681,670181,6,11447,643,2567,370632,89.95,3697,606447035,BoRoDa_888,"310,85"
548,1407,0,20903,214,31,1211,918,1394,1526,4899,2951,589560,892967,5,67133,1513,1585,632886,79.91,11505,524093988,schwefelsaure,"400,54"
549,708,0,5921,152,23,781,328,761,876,2022,1660,186986,435396,6,17988,597,1384,251775,52.52,3583,514156028,borowik2003,"118,54"
550,30510,477,112211,370,266,2334,5832,12638,12691,15708,25595,13967531,18393787,8,204420,15357,6042,9464974,305.58,75912,629567909,Karatist_yura,"856,57"
551,475,0,4001,219,19,916,278,445,523,822,987,318007,445491,6,8809,546,0,216084,0.0,0,500609490,Sloniczka,"551,55"
552,11698,232,58179,432,163,2169,2548,6015,6807,10659,12985,8129109,12711639,8,104326,6718,5279,5610429,253.63,35605,529689189,drak031,"639,13"
553,831,155,2597,216,16,1007,123,515,528,840,1059,205546,415260,4,8859,350,1434,229254,98.56,1787,595714787,APD2004,"240,87"
554,15766,1527,92425,523,184,2439,4788,8329,7774,27415,16287,19451179,17710959,8,134638,15009,7252,8524596,361.84,62906,536050740,_KoZZaK_,"1532,03"
555,32714,1971,149975,565,446,2279,7291,15583,17068,29424,33097,32065653,35861690,9,238429,21624,6869,18709998,330.96,99953,626001918,MASTER_UMC,"1009,72"
556,4070,227,20040,262,35,1518,809,2103,2186,3176,4324,1351277,1828195,6,40753,2569,2440,1132797,127.79,12362,517627729,BOUZID9607,"572,14"
557,27494,318,91553,548,270,2988,3685,9538,9652,6417,19460,20312579,21233947,13,153404,14342,8022,10672467,408.43,66704,607729448,ROCK_W_TAHKE,"1282,04"
558,1708,0,6537,225,10,1460,343,1000,1128,1587,2138,530307,1103192,7,12904,761,4023,481828,137.55,4367,625211717,RenamedUser_21926092,"316,19"
559,567,0,9409,198,11,1238,155,349,396,650,756,156171,185400,6,16476,380,1931,149492,56.56,5904,609502675,Tole_N,"503,19"
560,39355,96,191103,620,238,2919,6456,14400,12106,17040,26744,33825218,25699565,9,286489,26752,7352,16587265,486.65,129358,500833975,azukam,"1983,96"
561,1186,0,4849,198,23,1471,296,731,870,1073,1624,352909,698762,4,15830,595,2368,321033,111.25,1856,503815557,manve69,"309,31"
562,2012,0,8344,341,28,1711,639,1161,1119,3767,2308,1315501,1523943,6,14309,1328,4184,787460,283.6,2713,502018921,madjerry,"875,79"
563,2875,0,13302,301,27,2019,678,1505,1544,4174,3076,1290493,1601632,8,21971,1895,3669,925037,177.93,6511,504374692,bali00,"782,85"
564,1430,0,12056,863,20,2462,420,676,581,525,1277,2281813,1440276,9,15687,1590,6393,1102537,463.9,9074,510424205,Igi2906,"2670,78"
565,11088,118,41504,365,85,2204,1378,4478,4527,6934,9090,5213473,6587537,7,78304,5458,4796,3320441,270.37,28443,597318119,rodotsdgidfg,"919,41"
566,2533,59,11538,427,27,1845,488,1243,1444,1776,2714,1651953,2686659,5,20072,1373,4562,1158759,254.65,7354,554844268,_NichtTheo_,"668,30"
567,19299,224,145451,329,421,2360,9076,14918,16647,36997,31986,15909625,21861158,9,271526,17214,6210,10511846,231.39,47797,637406894,AKPVT,"630,72"
568,1410,0,4384,248,13,1566,189,567,619,1622,1199,267478,439818,6,9069,551,0,297541,0.0,0,505337236,stevanix,"422,74"
569,1534,0,9606,372,38,1981,389,861,886,3104,1785,1206384,1250548,7,14416,1303,2938,663460,372.5,1184,501125408,bloodspell,"975,86"
570,21769,112,102096,525,199,2160,4209,9390,10397,11970,19986,17414666,19317100,10,168284,14457,8075,10489585,354.14,49219,503474469,61_FOXY_61,"1043,92"
571,1510,0,5847,229,11,1533,248,787,810,892,1608,303909,497407,8,11518,776,1301,368861,91.67,3865,632452379,Probeell,"384,84"
572,701,0,2763,195,15,997,141,429,495,883,939,182687,295029,4,5437,360,1763,183218,97.13,2067,626314812,RenamedUser_25049712,"274,96"
573,1438,0,10880,287,39,1704,790,1085,1219,4415,2343,1095127,1490062,5,17793,1488,0,673111,0.0,0,501595526,r4tdi,"674,96"
574,971,0,2561,179,9,875,192,551,632,560,1192,159805,440578,5,4888,350,2065,213848,101.06,1606,525750447,generaalPershing,"154,03"
575,3468,85,19758,423,75,1872,712,1952,2241,3204,4268,3002231,4971376,7,33463,2262,5932,1805033,245.7,12990,581822220,legendphil106,"695,32"
577,1365,0,11162,337,26,1367,277,1127,1384,3105,2537,766210,2101987,7,15068,668,3471,854348,128.46,6746,538055693,TondaPaulo,"260,13"
578,1471,0,7556,233,18,1698,356,834,940,3043,1792,544904,751225,8,14707,1044,3362,417459,153.22,356,503778194,lackyblacky,"603,69"
579,1141,0,12800,503,7,1989,249,438,310,1216,755,508931,270921,8,22027,1037,3360,379442,208.99,5412,623519284,rom4ek91,"2094,36"
580,276,1,1799,324,3,1347,128,264,323,156,590,185871,561806,4,3952,184,3227,191145,181.73,1096,553186144,piotrek_skdf,"259,21"
581,2891,0,20105,275,34,1513,938,1897,1857,3477,3788,1273300,1452356,7,46123,2847,2537,1042831,127.69,13384,517221421,martin200303,"742,46"
